Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$135.54 ,-0.29,-0.21%,38709587233,United States,1999,631799,Industrials,Biotechnology: Laboratory Analytical Instruments
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$23.00 ,-0.01,-0.04%,,United States,,24880,,
