Ticker,Error Message,Timestamp,Type,Primary Exchange
BACpN,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpO,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpP,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpQ,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BANCpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BARK.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
BApA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,SP,XNYS
BBAI.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,WARRANT,XNYS
BCVpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XASE
BCpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,SP,XNYS
BCpC,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,SP,XNYS
BELF.A,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,N/A,XNAS
BELF.B,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,N/A,XNAS
BEPpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BFLY.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,WARRANT,XNYS
BFSpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BFSpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BHRpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BHRpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BIF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,CS,XNYS
BIPpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BIPpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BKKT.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,WARRANT,XNYS
BKSY.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,WARRANT,XNYS
BMLpG,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BMLpH,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BMLpJ,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BMLpL,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BOHpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BOHpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,PFD,XNYS
BOWL,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.327300,CS,XNYS
