id,ticker,timestamp,open,high,low,close,volume,turnover
5119994,AAPL,2021-01-13 00:00:00,125.045,127.735,124.775,127.175,88636831,11572384988.27
5119995,AAPL,2021-01-14 00:00:00,127.085,127.285,125.045,125.195,90221755,11705071484.724
5119996,AAPL,2021-01-15 00:00:00,125.065,126.509,123.285,123.425,111598531,14312459570.445
5119997,AAPL,2021-01-19 00:00:00,124.065,124.995,123.223,124.115,90757329,11591973404.056
5119998,AAPL,2021-01-20 00:00:00,124.945,128.775,124.835,128.315,104319489,13714572899.25
5119999,AAPL,2021-01-21 00:00:00,130.085,135.955,129.875,133.155,120529544,16375359120.962
5120000,AAPL,2021-01-22 00:00:00,132.565,136.135,131.305,135.355,114459360,15778417607.198
5120001,AAPL,2021-01-25 00:00:00,139.355,141.375,132.825,139.205,157611713,22482572963.082
5120002,AAPL,2021-01-26 00:00:00,139.885,140.585,137.655,139.445,98390555,14055144188.099
5120003,AAPL,2021-01-27 00:00:00,139.715,140.585,136.695,138.345,140843759,20049278289.798
5120004,AAPL,2021-01-28 00:00:00,135.805,138.275,132.985,133.375,142621128,19850119385.733
5120005,AAPL,2021-01-29 00:00:00,132.115,133.025,126.495,128.245,177523812,23564067702.11
5120006,AAPL,2021-02-01 00:00:00,130.035,131.665,127.215,130.425,106239823,14214150838.331
5120007,AAPL,2021-02-02 00:00:00,132.015,132.595,130.895,131.275,83305367,11264614247.221
5120008,AAPL,2021-02-03 00:00:00,132.045,132.055,129.895,130.225,89880937,12102962326.688
5120009,AAPL,2021-02-04 00:00:00,132.585,133.685,130.875,133.675,84183061,11464757233.074
5120010,AAPL,2021-02-05 00:00:00,133.84,133.91,132.35,133.25,75693830,10343704933.409
5120011,AAPL,2021-02-08 00:00:00,132.52,133.45,131.41,133.4,71297214,9711386842.266
5120012,AAPL,2021-02-09 00:00:00,133.11,134.367,132.34,132.5,76774213,10506775933.753
5120013,AAPL,2021-02-10 00:00:00,132.97,133.48,130.89,131.88,73046563,9896091414.526
5120014,AAPL,2021-02-11 00:00:00,132.39,132.88,130.26,131.62,64280029,8668667957.81
5120015,AAPL,2021-02-12 00:00:00,130.84,132.02,130.182,131.86,60145130,8090757437.545
5120016,AAPL,2021-02-16 00:00:00,131.98,132.5,129.28,129.68,80576316,10786241619.437
5120017,AAPL,2021-02-17 00:00:00,127.74,128.71,125.96,127.33,98085249,12808662475.527
5120018,AAPL,2021-02-18 00:00:00,125.69,126.485,123.9,126.2,96856748,12480960447.557
5120019,AAPL,2021-02-19 00:00:00,126.73,127.2,125.29,126.36,87668834,11376548212.239
5120020,AAPL,2021-02-22 00:00:00,124.5,126.21,122.09,122.49,103916419,13201897595.216
5120021,AAPL,2021-02-23 00:00:00,120.25,123.2,114.88,122.35,158273022,19515337055.932
5120022,AAPL,2021-02-24 00:00:00,121.43,122.05,118.72,121.84,111039904,13816622802.745
5120023,AAPL,2021-02-25 00:00:00,121.17,122.949,117.03,117.48,148199540,18170060538.311
5120024,AAPL,2021-02-26 00:00:00,119.08,121.34,117.69,117.75,164560394,20231953040.752
5120025,AAPL,2021-03-01 00:00:00,120.24,124.42,119.28,124.28,116307892,14661073811.199
5120026,AAPL,2021-03-02 00:00:00,124.9,125.21,121.5,121.61,102260945,12896501021.427
5120027,AAPL,2021-03-03 00:00:00,121.3,122.2,118.33,118.55,112966340,13937361675.362
5120028,AAPL,2021-03-04 00:00:00,118.24,120.09,115.11,116.62,178154975,21520962877.728
5120029,AAPL,2021-03-05 00:00:00,117.47,118.425,114.06,117.91,153766601,18417758760.319
5120030,AAPL,2021-03-08 00:00:00,117.42,117.49,112.7,112.85,154376610,18207583475.655
5120031,AAPL,2021-03-09 00:00:00,115.52,118.55,115.28,117.575,129525780,15637520472.774
5120032,AAPL,2021-03-10 00:00:00,118.18,118.66,115.94,116.47,111943326,13470088517.508
5120033,AAPL,2021-03-11 00:00:00,119.03,119.7,117.75,118.45,103026528,12575927443.938
5120034,AAPL,2021-03-12 00:00:00,116.89,117.66,115.65,117.52,88105050,10593899486.219
5120035,AAPL,2021-03-15 00:00:00,117.9,120.49,116.91,120.48,92590555,11386634799.906
5120036,AAPL,2021-03-16 00:00:00,122.19,123.71,121.205,122.06,115227936,14513695637.563
5120037,AAPL,2021-03-17 00:00:00,120.54,122.35,118.826,121.25,111932636,13854984802.716
5120038,AAPL,2021-03-18 00:00:00,119.37,119.67,116.81,117.02,121469830,14775951661.515
5120039,AAPL,2021-03-19 00:00:00,116.39,117.92,116.165,116.48,185549522,22302585756.476
5120040,AAPL,2021-03-22 00:00:00,116.82,120.36,116.75,119.88,111912284,13745480405.892
5120041,AAPL,2021-03-23 00:00:00,119.82,120.73,118.63,119.03,95467142,11742321195.9
5120042,AAPL,2021-03-24 00:00:00,119.31,119.39,116.555,116.58,88530485,10730979275.493
5120043,AAPL,2021-03-25 00:00:00,116.03,118.15,115.49,117.08,98844681,11884502856.16
5120044,AAPL,2021-03-26 00:00:00,116.84,117.97,115.41,117.7,94071086,11310567362.52
5120045,AAPL,2021-03-29 00:00:00,118.14,119.07,117.22,117.88,80818553,9815560196.028
5120046,AAPL,2021-03-30 00:00:00,116.6,116.893,115.35,116.39,85671819,10255629307.232
5120047,AAPL,2021-03-31 00:00:00,118.14,120.01,117.64,118.64,118323826,14506636183.966
5120048,AAPL,2021-04-01 00:00:00,120.15,120.67,118.98,119.49,75088611,9247255512.533
5120049,AAPL,2021-04-05 00:00:00,120.36,122.65,119.56,122.39,88651215,11111157541.722
5120050,AAPL,2021-04-06 00:00:00,122.99,123.62,122.14,122.7,80171177,10130855887.224
5120051,AAPL,2021-04-07 00:00:00,122.32,124.41,121.63,124.39,83466316,10608696810.254
5120052,AAPL,2021-04-08 00:00:00,125.44,126.88,125.01,126.85,88843536,11526653919.061
5120053,AAPL,2021-04-09 00:00:00,126.29,129.53,125.96,129.485,106686102,14050220262.838
5120054,AAPL,2021-04-12 00:00:00,129.01,129.34,127.12,127.73,91419268,12022802796.881
5120055,AAPL,2021-04-13 00:00:00,128.93,131.15,128.42,130.92,91266545,12206360816.859
