id,ticker,timestamp,open,high,low,close,volume,turnover
5121002,TSLA,2021-01-13 00:00:00,284.225,286.795,277.306,284.775,99937488,28199776643.118
5121003,TSLA,2021-01-14 00:00:00,281.102,287.638,279.555,281.639,93798981,26622013380.581
5121004,TSLA,2021-01-15 00:00:00,283.972,286.605,273.006,275.359,116332788,32507608915.318
5121005,TSLA,2021-01-19 00:00:00,279.239,283.305,277.639,281.489,76100940,21326451765.658
5121006,TSLA,2021-01-20 00:00:00,286.218,286.471,279.065,283.455,76997649,21805685895.253
5121007,TSLA,2021-01-21 00:00:00,284.972,285.211,280.445,281.635,61794399,17448563528.031
5121008,TSLA,2021-01-22 00:00:00,278.076,282.638,276.179,282.185,60199491,16827527441.259
5121009,TSLA,2021-01-25 00:00:00,284.972,300.103,279.579,293.571,123520191,35958536787.438
5121010,TSLA,2021-01-26 00:00:00,297.097,298.603,290.504,294.334,69394809,20491197145.062
5121011,TSLA,2021-01-27 00:00:00,290.088,297.137,286.191,288.025,82001865,23751999415.748
5121012,TSLA,2021-01-28 00:00:00,273.306,282.638,266.973,278.449,79134144,21928611339.695
5121013,TSLA,2021-01-29 00:00:00,276.639,280.775,260.007,264.484,104972262,28170102541.884
5121014,TSLA,2021-02-01 00:00:00,271.403,280.639,265.16,279.909,76174155,20907618432.146
5121015,TSLA,2021-02-02 00:00:00,281.532,293.471,280.706,290.901,73038639,21177941399.704
5121016,TSLA,2021-02-03 00:00:00,292.311,292.664,284.327,284.868,55030530,15795578724.532
5121017,TSLA,2021-02-04 00:00:00,284.972,285.471,277.779,283.302,47437983,13354346249.698
5121018,TSLA,2021-02-05 00:00:00,281.639,288.228,279.629,284.048,55699911,15828959977.317
5121019,TSLA,2021-02-08 00:00:00,289.861,292.561,284.888,287.778,60485157,17451891981.028
5121020,TSLA,2021-02-09 00:00:00,285.011,286.571,280.555,283.125,45472953,12871677222.716
5121021,TSLA,2021-02-10 00:00:00,281.184,281.579,266.647,268.247,108648270,29507070062.367
5121022,TSLA,2021-02-11 00:00:00,270.786,276.599,267.215,270.526,64868259,17594996448.576
5121023,TSLA,2021-02-12 00:00:00,267.06,272.416,261.751,272.013,71305089,19039111465.682
5121024,TSLA,2021-02-16 00:00:00,272.639,273.639,264.12,265.38,59406972,15913762014.152
5121025,TSLA,2021-02-17 00:00:00,259.671,266.587,253.978,266.023,78236694,20373646896.171
5121026,TSLA,2021-02-18 00:00:00,260.274,264.87,258.731,262.434,53871174,14122720444.374
5121027,TSLA,2021-02-19 00:00:00,264.974,265.57,259.097,260.407,56874765,14895633584.38
5121028,TSLA,2021-02-22 00:00:00,254.188,256.141,236.71,238.143,111809148,27536659105.673
5121029,TSLA,2021-02-23 00:00:00,220.688,237.846,206.313,232.923,199820646,44990555944.635
5121030,TSLA,2021-02-24 00:00:00,237.26,248.309,231.367,247.315,110300850,26547129753.029
5121031,TSLA,2021-02-25 00:00:00,242.026,245.711,223.504,227.384,117071565,27382735318.096
5121032,TSLA,2021-02-26 00:00:00,233.31,235.543,219.815,225.144,123268023,27962586350.7
5121033,TSLA,2021-03-01 00:00:00,230.014,290.638,228.327,239.453,81408717,19182114745.8
5121034,TSLA,2021-03-02 00:00:00,239.403,240.346,228.311,228.79,71196474,16665142736.709
5121035,TSLA,2021-03-03 00:00:00,229.307,233.543,217.213,217.712,90623880,20408934635.815
5121036,TSLA,2021-03-04 00:00:00,218.578,291.284,199.98,207.126,197758590,41260787587.112
5121037,TSLA,2021-03-05 00:00:00,208.666,209.26,179.812,199.297,268189377,52185493228.034
5121038,TSLA,2021-03-08 00:00:00,200.163,206.688,186.245,187.648,155360874,30388446345.883
5121039,TSLA,2021-03-09 00:00:00,202.706,226.007,198.383,224.504,202570194,43604268775.933
5121040,TSLA,2021-03-10 00:00:00,233.41,239.259,218.331,222.664,181817673,41440442316.631
5121041,TSLA,2021-03-11 00:00:00,233.11,234.143,225.704,233.177,108761691,25105439292.45
5121042,TSLA,2021-03-12 00:00:00,223.311,231.604,222.024,231.22,100751520,22946675496.33
5121043,TSLA,2021-03-15 00:00:00,231.34,237.703,227.991,235.956,88270437,20661977594.286
5121044,TSLA,2021-03-16 00:00:00,234.427,235.95,223.644,225.604,96587016,22261858573.623
5121045,TSLA,2021-03-17 00:00:00,218.935,234.553,216.982,233.913,121117359,27442242163.486
5121046,TSLA,2021-03-18 00:00:00,228.074,229.72,217.312,217.698,100107066,22413656814.159
5121047,TSLA,2021-03-19 00:00:00,215.512,219.055,208.186,218.268,128681934,27683931163.247
5121048,TSLA,2021-03-22 00:00:00,228.174,233.183,222.894,223.311,118536663,27111272339.943
5121049,TSLA,2021-03-23 00:00:00,225.234,225.911,219.148,220.698,91478697,20368570407.453
5121050,TSLA,2021-03-24 00:00:00,222.614,222.651,210.016,210.069,101385525,21973208786.721
5121051,TSLA,2021-03-25 00:00:00,204.313,215.145,203.146,213.442,117674550,24697804519.814
5121052,TSLA,2021-03-26 00:00:00,213.935,214.585,199.943,206.216,101558499,20954547675.663
5121053,TSLA,2021-03-29 00:00:00,205.193,205.473,198.653,203.743,85909071,17379605218.777
5121054,TSLA,2021-03-30 00:00:00,200.563,212.532,196.984,211.852,118297191,24364650961.718
5121055,TSLA,2021-03-31 00:00:00,215.518,223.978,213.682,222.621,100011864,21988707442.589
5121056,TSLA,2021-04-01 00:00:00,229.434,230.784,219.785,220.561,105895194,23860395195.603
5121057,TSLA,2021-04-05 00:00:00,235.88,236.03,228.211,230.327,125528523,29173466521.314
5121058,TSLA,2021-04-06 00:00:00,230.077,232.16,227.101,230.517,84815355,19516708104.378
5121059,TSLA,2021-04-07 00:00:00,228.977,230.437,222.591,223.634,78927765,17900364996.511
5121060,TSLA,2021-04-08 00:00:00,225.771,229.827,223.859,227.911,71771544,16331615101.325
5121061,TSLA,2021-04-09 00:00:00,225.901,226.967,223.121,225.651,64310631,14476141900.643
5121062,TSLA,2021-04-12 00:00:00,228.544,234.91,227.341,233.97,87407010,20339493135.712
5121063,TSLA,2021-04-13 00:00:00,237.543,254.308,236.863,254.081,133958448,33145000229.834
5121064,TSLA,2021-04-14 00:00:00,256.874,260.237,242.652,244.052,147050901,36995715159.786
5121065,TSLA,2021-04-15 00:00:00,247.675,247.872,240.413,246.259,83546385,20401824145.471
5121066,TSLA,2021-04-16 00:00:00,242.859,249.778,241.509,246.569,83938578,20605430489.135
5121067,TSLA,2021-04-19 00:00:00,239.843,241.776,230.577,238.186,119057760,28128604047.718
5121068,TSLA,2021-04-20 00:00:00,239.116,245.725,236.871,239.639,106827075,25716823815.433
5121069,TSLA,2021-04-21 00:00:00,234.9,248.255,232.643,248.015,93646152,22616079793.676
5121070,TSLA,2021-04-22 00:00:00,247.142,251.232,239.323,239.873,106768944,26153660601.523
5121071,TSLA,2021-04-23 00:00:00,239.909,245.762,238.463,243.109,85598259,20797083597.146
5121072,TSLA,2021-04-26 00:00:00,246.975,249.742,244.177,246.042,93115671,22867989002.958
5121073,TSLA,2021-04-27 00:00:00,239.296,241.309,234.427,234.89,88311939,20930352872.936
5121074,TSLA,2021-04-28 00:00:00,232.113,236.143,231.177,231.444,66814860,15568876205.996
5121075,TSLA,2021-04-29 00:00:00,233.147,234.06,222.811,225.644,86536416,19649864122.519
5121076,TSLA,2021-04-30 00:00:00,222.508,238.466,222.024,236.456,122276196,28480582455.341
5121077,TSLA,2021-05-03 00:00:00,234.577,235.31,226.811,228.277,81128676,18664759965.398
5121078,TSLA,2021-05-04 00:00:00,226.291,227.793,219.212,224.511,89217720,19848765887.04
5121079,TSLA,2021-05-05 00:00:00,226.997,228.409,222.424,223.624,65704284,14774333258.721
5121080,TSLA,2021-05-06 00:00:00,226.897,226.984,216.645,221.158,83353863,18424936941.007
5121081,TSLA,2021-05-07 00:00:00,221.911,229.977,220.051,224.101,70408128,15777985092.641
5121082,TSLA,2021-05-10 00:00:00,221.611,221.661,209.182,209.659,94177251,20159649293.982
5121083,TSLA,2021-05-11 00:00:00,199.727,209.012,198.513,205.713,139511592,28457833034.813
5121084,TSLA,2021-05-12 00:00:00,200.81,206.783,195.569,196.61,101470938,20343953371.396
5121085,TSLA,2021-05-13 00:00:00,200.495,202.133,186.531,190.544,132631332,25641055805.0
5121086,TSLA,2021-05-14 00:00:00,194.451,197.604,190.134,196.56,100114755,19470010731.946
5121087,TSLA,2021-05-17 00:00:00,191.832,196.557,187.048,192.257,97171050,18597279793.019
5121088,TSLA,2021-05-18 00:00:00,189.314,198.73,187.775,192.604,110491623,21437317220.236
5121089,TSLA,2021-05-19 00:00:00,184.165,188.718,182.308,187.801,118735185,22028341013.437
5121090,TSLA,2021-05-20 00:00:00,191.648,196.264,190.338,195.574,92463357,17884271535.223
5121091,TSLA,2021-05-21 00:00:00,198.683,198.873,193.314,193.607,78091755,15289452978.22
5121092,TSLA,2021-05-24 00:00:00,193.847,204.806,191.198,202.126,103674261,20718599998.481
5121093,TSLA,2021-05-25 00:00:00,202.416,204.643,198.55,201.543,84017799,16887175912.014
5121094,TSLA,2021-05-26 00:00:00,202.5,208.702,200.48,206.356,85917915,17668713041.185
5121095,TSLA,2021-05-27 00:00:00,206.726,210.356,205.383,210.262,79111779,16436947490.824
5121096,TSLA,2021-05-28 00:00:00,209.479,211.842,207.439,208.386,68211042,14297049056.25
5121097,TSLA,2021-06-01 00:00:00,209.246,211.246,206.829,207.946,54254670,11327304010.724
5121098,TSLA,2021-06-02 00:00:00,206.689,207.766,199.693,201.686,69908175,14157379524.322
5121099,TSLA,2021-06-03 00:00:00,200.58,201.497,190.388,190.928,90335673,17716027140.135
5121100,TSLA,2021-06-04 00:00:00,193.217,200.183,192.381,199.663,72109938,14270428176.016
5121101,TSLA,2021-06-07 00:00:00,197.255,203.313,194.274,201.69,67630968,13366267974.953
5121102,TSLA,2021-06-08 00:00:00,207.649,207.676,198.48,201.177,78156861,15802203221.423
5121103,TSLA,2021-06-09 00:00:00,200.703,203.91,199.19,199.573,49753698,10002382567.701
5121104,TSLA,2021-06-10 00:00:00,201.273,205.509,200.147,203.353,71758815,14605128766.83
5121105,TSLA,2021-06-11 00:00:00,203.39,204.166,200.487,203.276,48615624,9843978369.269
5121106,TSLA,2021-06-14 00:00:00,204.056,208.476,203.04,205.876,61271949,12621332581.48
