Date,Symbol,Company,Type,Split Ratio
2025-01-27,GITS,"Global Interactive Technologies, Inc.",Reverse,1 for 20.00
2025-01-27,IVP,"Inspire Veterinary Partners, Inc. Class A",Reverse,1 for 25.00
2025-01-27,HAO,Haoxi Health Technology Limited Class A,Reverse,1 for 25.00
2025-01-27,BNGO,Bionano Genomics,Reverse,1 for 60.00
2025-01-27,FFPP,Fast Finance Pay Corp,Reverse,1 for 40.00
2025-01-24,BLTH,American Battery Materials Inc.,Reverse,1 for 5.00
2025-01-24,NMLSF,Restart Life Sciences Corp.,Reverse,1 for 2.00
2025-01-24,GNS,Genius Group Limited,Forward,1.00 for 1
2025-01-24,YI,"111, Inc.",Reverse,1 for 10.00
2025-01-23,FGRRF,Fingerprint Cards Ab,Forward,1.00 for 1
2025-01-23,BDPT,Bioadaptives Inc,Forward,0.50 for 1
2025-01-22,AASZF,Atlantic Sapphire Asa,Reverse,1 for 200.00
2025-01-21,SONG,Music Licensing Inc,Reverse,1 for 2500.00
2025-01-21,BQ,Boqii Holding Limited,Reverse,1 for 10.00
2025-01-21,GGAL,Grupo Financiero Galicia,Forward,1.00 for 1
2025-01-17,OUT,Outfront Media Inc,Reverse,1 for 1.02
2025-01-16,RLI,RLI Corp,Forward,0.50 for 1
2025-01-16,ALVR,Allovir Inc,Reverse,1 for 23.00
2025-01-16,MBIO,Mustang Bio,Reverse,1 for 50.00
2025-01-15,ODTC,Odonate Inc,Reverse,1 for 8.00
2025-01-15,VNTA,Ventana Global Inc,Reverse,1 for 20.00
2025-01-15,VIPRF,Silver Viper Minerals Corp,Reverse,1 for 10.00
2025-01-15,SMX,Smx (Security Matters) Public Limited Company,Reverse,1 for 28.50
2025-01-15,SVMH,Srivaru Holding Limited,Reverse,1 for 50.00
2025-01-15,ENRT,Enertopia Corp,Reverse,1 for 20.00
2025-01-15,THQQF,Embracer Group Ab Class B,Reverse,1 for 6.00
2025-01-14,EVAX,Evaxion Biotech A/S Adr,Reverse,1 for 5.00
2025-01-13,KNDYF,Kenadyr Metals Corp.,Reverse,1 for 6.00
2025-01-13,THCH,Th International Limited,Reverse,1 for 5.00
2025-01-13,OBT,"Orange County Bancorp, Inc.",Forward,0.50 for 1
2025-01-13,GORV,"Lazydays Holdings, Inc.",Forward,1.00 for 1
2025-01-10,XTIA,"Xti Aerospace, Inc.",Reverse,1 for 250.00
2025-01-10,CHMJF,Waverunner Capital Inc.,Reverse,1 for 15.00
2025-01-08,JXG,Jx Luxventure Limited,Reverse,1 for 4.00
2025-01-08,CERO,"Cero Therapeutics Holdings, Inc.",Reverse,1 for 100.00
2025-01-07,TCBP,TC Biopharm (Holdings) Plc Sponsored ADR,Forward,0.80 for 1
2025-01-06,RGF,"Real Good Food Company, Inc.",Reverse,1 for 12.00
2025-01-06,CMCT,Creative Media & Community Trust Corporation,Reverse,1 for 10.00
2025-01-06,IDAI,"T Stamp, Inc. Class A",Reverse,1 for 15.00
2025-01-06,SEVCF,Sono Group Nv,Reverse,1 for 75.00
2025-01-06,ODC,Oil-dri Corporation Of America,Forward,0.50 for 1
2025-01-03,MTH,Meritage Homes Corp,Forward,0.50 for 1
2025-01-03,ALUR,"Allurion Technologies, Inc.",Reverse,1 for 25.00
2025-01-02,ATCH,"Atlasclear Holdings, Inc.",Reverse,1 for 60.00
2025-01-02,TCBP,TC Biopharm (Holdings) Plc Sponsored ADR,Forward,0.80 for 1
2025-01-02,CISS,C3is Inc.,Reverse,1 for 2.50
2025-01-02,THCH,Th International Limited,Reverse,1 for 5.00
2025-01-02,CVLG,"Covenant Logistics Group, Inc.",Forward,0.50 for 1
2024-12-31,OPTN,Optinose,Reverse,1 for 15.00
2024-12-31,CARA,Cara Therapeutics,Reverse,1 for 12.00
2024-12-31,COEP,Coeptis Therapeutics Holdings Inc.,Reverse,1 for 20.00
2024-12-31,OST,"Ostin Technology Group Co., Ltd.",Reverse,1 for 10.00
2024-12-31,UNICY,Unicharm Corporation Sponsored ADR,Forward,0.83 for 1
2024-12-30,WPDPF,Wpd Pharmaceuticals Inc,Reverse,1 for 25.00
2024-12-30,JNVR,"Janover, Inc.",Reverse,1 for 8.00
2024-12-27,UNCHF,Unicharm Corporation,Forward,0.33 for 1
2024-12-27,JREIF,Japan Real Estate Investment Corp,Forward,0.20 for 1
2024-12-27,KELRF,Keisei Electric Railway Co ,Forward,0.33 for 1
2024-12-27,SYTA,Siyata Mobile Inc.,Reverse,1 for 10.00
2024-12-26,CRVL,Corvel,Forward,0.33 for 1
2024-12-26,LGMH,Veri Medtech Holdings Inc,Reverse,1 for 20.00
2024-12-24,GOEV,Canoo Inc.,Reverse,1 for 20.00
2024-12-24,MVCO,"Metavesco, Inc.",Forward,0.01 for 1
2024-12-24,CLEU,China Liberal Education Holdings Ltd,Reverse,1 for 15.00
2024-12-24,BNOX,Neuphoria Therapeutics Inc.,Reverse,1 for 12.00
2024-12-23,GLFH,"New Green Hemp, Inc.",Reverse,1 for 300.00
2024-12-23,GPACF,Geopacific Resources Limited,Forward,1.00 for 1
2024-12-23,ICCT,Icoreconnect Inc.,Reverse,1 for 20.00
2024-12-23,DGGXF,DigitalX Limited,Forward,1.00 for 1
2024-12-20,TSCO,Tractor Supply Company,Forward,0.20 for 1
2024-12-20,MLGF,Malaga Financial Corporation,Forward,0.95 for 1
2024-12-20,CLWY,"Calloway's Nursery, Inc.",Forward,1.00 for 1
2024-12-19,JAXAF,Jaxsta Limited,Forward,1.00 for 1
2024-12-18,MTC,"Mmtec, Inc.",Reverse,1 for 8.00
2024-12-17,XXII,22nd Century Group,Reverse,1 for 135.00
2024-12-17,CMGHF,Chaoda Modern Agriculture Holdings Ltd.,Reverse,1 for 20.00
2024-12-16,PATK,"Patrick Industries, Inc.",Forward,0.67 for 1
2024-12-16,PANW,Palo Alto Networks,Forward,0.50 for 1
